"File","Issue","Detail"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\example\inspect.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\browser\dom.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\bigint.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\circular.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\deep.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\element.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\err.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\fakes.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\fn.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\global.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\has.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\holes.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\indent-option.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\inspect.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\lowbyte.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\number.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\node_modules\object-inspect\test\quoteStyle.js","DANGEROUS REQUIRE","Match found"
